OrderNumber,OrderDate,Customer_Name_Index,Channel,Currency_Code,Warehouse_Code,Delivery_Regoin_index,Product_Index,Product_Quantity,Unit_Price,Line_Total,Total_Unit_Cost
SO - 000225,12/28/2021,23,Export,USD,NXH382,449,26,9,2201.82,19816.38,2599.93
SO - 000226,1/20/2021,13,Wholesale,USD,FLR025,17,10,6,1407.93,8447.58,1108.33
SO - 000227,4/9/2022,25,Wholesale,USD,AXW291,617,7,2,1522.92,3045.84,399.62
SO - 000228,1/2/2022,5,Export,USD,AXW291,999,17,11,3683.13,40514.43,5315.53
SO - 000229,12/27/2021,4,Distributor,USD,AXW291,308,4,13,2366.13,30759.69,4035.7
SO - 000230,8/22/2021,21,Wholesale,USD,GUT930,557,4,13,1759.07,22867.91,3000.29
SO - 000231,5/17/2021,20,Wholesale,USD,GUT930,449,17,12,4656.97,55883.64,7331.99
SO - 000232,1/29/2021,20,Distributor,USD,GUT930,77,28,8,2616.02,20928.16,2745.8
SO - 000233,2/21/2021,10,Wholesale,USD,GUT930,219,29,6,4520.1,27120.6,3558.25
SO - 000234,3/18/2021,1,Wholesale,USD,FLR025,90,14,4,4789.83,19159.32,2513.72
SO - 000235,2/13/2021,23,Export,USD,GUT930,645,2,13,3881.72,50462.36,6620.71
SO - 000236,2/2/2022,13,Distributor,USD,FLR025, ,19,2,1496.81,2993.62,392.77
SO - 000237,3/29/2022,4,Wholesale,USD,NXH382,143,25,9,1595.24,14357.16,1883.67
SO - 000238,3/19/2022,8,Export,USD,NXH382,386,7,11,464.37,5108.07,670.18
SO - 000239,10/1/2021,8,Wholesale,USD,AXW291,131,24,7,3116.2,21813.4,2861.94
SO - 000240,5/2/2021,25,Wholesale,USD,FLR025,588,22,3,3706.87,11120.61,1459.04
SO - 000241,7/22/2021,3,Wholesale,USD,AXW291,401,12,12,512.99,6155.88,807.66
SO - 000242,6/25/2021,8,Export,USD,GUT930,461,1,5,4003.19,20015.95,2626.11
SO - 000243,2/18/2021,6,Export,USD,NXH382,482,24,11,3420.41,37624.51,4936.37
SO - 000244,10/6/2021,13,Distributor,USD,GUT930,952,22,10,2841.77,28417.7,3728.43
SO - 000245,3/6/2022,21,Wholesale,USD,FLR025,561,8,3,880.93,2642.79,346.74
SO - 000246,4/30/2021,17,Distributor,USD,AXW291,522,12,15,1109.52,16642.8,2183.55
SO - 000247,3/26/2022,11,Distributor,USD,GUT930,792,21,3,3519.22,10557.66,1385.18
SO - 000248,1/14/2022,19,Distributor,USD,FLR025,370,27,2,4220.86,8441.72,1107.56
SO - 000249,2/26/2021,21,Wholesale,USD,NXH382,618,23,11,2561.84,28180.24,3697.28
SO - 000250,7/8/2021,6,Distributor,USD,AXW291,3,16,6,2915.24,17491.44,2294.89
SO - 000251,1/11/2022,23,Export,USD,AXW291,470,9,15,895.26,13428.9,1761.89
SO - 000252,3/13/2022,3,Distributor,USD,AXW291,229,15,9,4133.98,37205.82,4881.44
SO - 000253,5/11/2021,13,Wholesale,USD,AXW291,511,13,12,4264.95,51179.4,6714.79
SO - 000254,5/11/2022,2,Wholesale,USD,GUT930,548,28,7,4805.31,33637.17,4413.23
SO - 000255,9/5/2021,5,Export,USD,FLR025,967,21,6,701.82,4210.92,552.48
SO - 000256,3/7/2022,17,Wholesale,USD,FLR025,864,23,10,4069.03,40690.3,5338.61
SO - 000257,2/18/2022,12,Wholesale,USD,NXH382,692,15,12,3257.64,39091.68,5128.87
SO - 000258,10/18/2021,25,Distributor,USD,NXH382,466,26,7,1097.71,7683.97,1008.14
SO - 000259,4/20/2021,8,Export,USD,AXW291,882,8,12,4718.7,56624.4,7429.18
SO - 000260,4/20/2021,13,Export,USD,FLR025,812,7,4,3686.77,14747.08,1934.83
SO - 000261,4/7/2021,16,Distributor,USD,GUT930,584,25,3,4529.08,13587.24,1782.66
SO - 000262,1/11/2022,17,Distributor,USD,GUT930,890,25,5,3501.31,17506.55,2296.88
SO - 000263,4/24/2022,24,Wholesale,USD,FLR025,118,4,14,2204.71,30865.94,4049.64
SO - 000264,4/11/2021,7,Wholesale,USD,AXW291,417,29,2,4055.04,8110.08,1064.05
SO - 000265,2/13/2022,18,Wholesale,USD,AXW291,702,16,6,3635.31,21811.86,2861.74
SO - 000266,1/18/2021,6,Export,USD,AXW291,914,2,11,455.11,5006.21,656.82
SO - 000267,12/2/2021,7,Export,USD,GUT930,87,5,4,4257.39,17029.56,2234.3
SO - 000268,11/9/2021,11,Wholesale,USD,GUT930,998,11,9,662.22,5959.98,781.96
SO - 000269,10/26/2021,25,Export,USD,FLR025,158,21,9,4177.68,37599.12,4933.04
SO - 000270,11/13/2021,3,Export,USD,FLR025,580,15,1,1401.8,1401.8,183.92
SO - 000271,5/25/2021,14,Wholesale,USD,AXW291,78,16,2,4170.77,8341.54,1094.42
SO - 000272,2/4/2021,7,Export,USD,AXW291,887,6,2,4535.47,9070.94,1190.12
SO - 000273,1/13/2021,12,Export,USD,AXW291,942,22,8,3841.59,30732.72,4032.16
SO - 000274,5/7/2022,18,Export,USD,AXW291,840,7,11,1564.13,17205.43,2257.37
SO - 000275,12/6/2021,21,Export,USD,NXH382,372,12,1,2168.59,2168.59,284.52
SO - 000276,10/17/2021,10,Export,USD,AXW291,441,5,10,2166.28,21662.8,2842.18
SO - 000277,9/28/2021,9,Wholesale,USD,AXW291,721,20,7,2923.94,20467.58,2685.37
SO - 000278,4/4/2021,1,Wholesale,USD,AXW291,229,18,9,3914.03,35226.27,4621.72
SO - 000279,2/10/2021,9,Wholesale,USD,GUT930,306,27,5,2592.81,12964.05,1700.9
SO - 000280,4/17/2022,13,Distributor,USD,FLR025,309,11,7,3653.9,25577.3,3355.77
SO - 000281,7/13/2021,6,Wholesale,USD,FLR025,77,5,14,2892.48,40494.72,5312.95
SO - 000282,7/6/2021,25,Export,USD,AXW291,712,11,13,2738.41,35599.33,4670.67
SO - 000283,1/23/2021,10,Export,USD,FLR025,733,18,4,1373.7,5494.8,720.92
SO - 000284,9/29/2021,19,Wholesale,USD,NXH382,108,24,12,1661.95,19943.4,2616.59
SO - 000285,3/17/2021,14,Wholesale,USD,GUT930,250,24,1,3783.21,3783.21,496.36
SO - 000286,1/2/2021,22,Distributor,USD,GUT930,997,24,5,1271.56,6357.8,834.15
SO - 000287,6/19/2021,20,Wholesale,USD,AXW291,311,26,3,4321.01,12963.03,1700.76
SO - 000288,3/30/2022,18,Wholesale,USD,AXW291,444,6,3,2529.2,7587.6,995.5
SO - 000289,5/5/2021,25,Export,USD,AXW291,806,4,9,2073.34,18660.06,2448.22
SO - 000290,1/17/2022,22,Export,USD,FLR025,260,12,9,1793.21,16138.89,2117.44
SO - 000291,4/17/2022,6,Distributor,USD,GUT930,444,22,6,4337.23,26023.38,3414.29
SO - 000292,3/1/2021,6,Distributor,USD,NXH382,728,6,4,4615.57,18462.28,2422.27
SO - 000293,3/12/2022,6,Export,USD,GUT930,839,1,12,2646.5,31758,4166.68
SO - 000294,7/3/2021,20,Distributor,USD,AXW291,168,18,13,2065.74,26854.62,3523.35
SO - 000295,9/6/2021,12,Export,USD,FLR025,409,2,5,1211.14,6055.7,794.51
SO - 000296,12/10/2021,5,Export,USD,GUT930,369,9,10,1575.69,15756.9,2067.32
SO - 000297,4/24/2021,14,Wholesale,USD,AXW291,772,1,15,2580.64,38709.6,5078.74
SO - 000298,3/11/2021,12,Export,USD,AXW291,166,17,12,2306.74,27680.88,3631.76
SO - 000299,4/25/2022,15,Export,USD,AXW291,167,8,13,1065.45,13850.85,1817.25
SO - 000300,6/17/2021,5,Distributor,USD,NXH382,633,20,9,4952.18,44569.62,5847.58
SO - 000301,2/3/2022,17,Wholesale,USD,FLR025,727,27,3,1526.56,4579.68,600.86
SO - 000302,5/16/2022,21,Export,USD,GUT930,628,22,4,2673.43,10693.72,1403.03
SO - 000303,1/3/2021,7,Export,USD,FLR025,134,27,4,4630.18,18520.72,2429.94
SO - 000304,6/4/2021,2,Wholesale,USD,NXH382,179,7,1,2134.1,2134.1,280
SO - 000305,2/11/2022,8,Wholesale,USD,NXH382,337,4,4,4420.04,17680.16,2319.65
SO - 000306,6/6/2021,9,Export,USD,GUT930,199,23,12,4582.67,54992.04,7215.01
SO - 000307,9/11/2021,7,Distributor,USD,FLR025,880,1,15,925.49,13882.35,1821.38
SO - 000308,12/26/2021,1,Distributor,USD,FLR025,175,13,3,1415.84,4247.52,557.28
SO - 000309,10/26/2021,6,Wholesale,USD,FLR025,700,12,7,2214.35,15500.45,2033.67
SO - 000310,5/9/2022,17,Distributor,USD,AXW291,652,6,15,767.13,11506.95,1509.72
SO - 000311,1/4/2021,18,Export,USD,NXH382,269,21,9,3540.4,31863.6,4180.54
SO - 000312,4/26/2021,20,Export,USD,AXW291,856,10,3,3696.74,11090.22,1455.05
SO - 000313,4/15/2021,16,Export,USD,FLR025,363,4,10,3854.14,38541.4,5056.67
SO - 000314,2/6/2021,3,Wholesale,USD,GUT930,8,25,14,626.06,8764.84,1149.96
SO - 000315,2/13/2021,6,Distributor,USD,AXW291,692,16,9,4879.33,43913.97,5761.56
SO - 000316,7/14/2021,14,Export,USD,AXW291,953,1,14,2492.69,34897.66,4578.61
SO - 000317,1/4/2021,2,Distributor,USD,GUT930,389,12,2,634.05,1268.1,166.38
SO - 000318,7/2/2021,11,Distributor,USD,GUT930,640,27,6,3525,21150,2774.9
SO - 000319,7/3/2021,14,Wholesale,USD,NXH382,669,20,7,4366.91,30568.37,4010.6
SO - 000320,7/2/2021,3,Distributor,USD,NXH382,652,17,5,2538.93,12694.65,1665.55
SO - 000321,5/16/2022,3,Wholesale,USD,FLR025,420,14,15,4303.94,64559.1,8470.22
SO - 000322,8/24/2021,6,Wholesale,USD,FLR025,792,5,7,2525.59,17679.13,2319.52
SO - 000323,1/20/2021,2,Export,USD,AXW291,862,21,11,3423.38,37657.18,4940.66
SO - 000324,10/4/2021,15,Distributor,USD,NXH382,410,8,6,3737.01,22422.06,2941.8
SO - 000325,4/22/2021,8,Export,USD,FLR025,541,29,7,2064.74,14453.18,1896.27
SO - 000326,4/15/2022,19,Export,USD,NXH382,234,24,13,4174.96,54274.48,7120.87
SO - 000327,8/21/2021,16,Export,USD,NXH382,874,13,3,3288.23,9864.69,1294.26
SO - 000328,2/17/2021,12,Export,USD,AXW291,817,19,4,1467.37,5869.48,770.08
SO - 000329,9/25/2021,15,Wholesale,USD,GUT930,133,3,14,916.89,12836.46,1684.16
SO - 000330,1/26/2021,9,Export,USD,NXH382,295,15,11,2457.49,27032.39,3546.68
SO - 000331,10/28/2021,14,Distributor,USD,FLR025,397,23,10,3450.48,34504.8,4527.06
SO - 000332,4/2/2021,22,Distributor,USD,AXW291,52,19,9,4811.73,43305.57,5681.73
SO - 000333,1/25/2022,14,Export,USD,FLR025,412,13,11,2860.35,31463.85,4128.09
SO - 000334,2/8/2022,19,Distributor,USD,AXW291,287,9,1,1779.22,1779.22,233.44
SO - 000335,2/27/2021,24,Wholesale,USD,NXH382,645,8,10,4677.12,46771.2,6136.43
SO - 000336,3/1/2021,24,Export,USD,FLR025,330,30,1,4030.53,4030.53,528.81
SO - 000337,11/17/2021,12,Distributor,USD,AXW291,52,18,2,1899.77,3799.54,498.5
SO - 000338,3/5/2022,20,Export,USD,FLR025,664,28,15,4325.52,64882.8,8512.69
SO - 000339,2/26/2021,21,Distributor,USD,FLR025,764,17,12,3939.29,47271.48,6202.07
SO - 000340,9/27/2021,10,Distributor,USD,FLR025,843,25,14,3168.62,44360.68,5820.17
SO - 000341,11/2/2021,3,Export,USD,AXW291,70,4,10,4876.41,48764.1,6397.9
SO - 000342,4/17/2022,22,Wholesale,USD,AXW291,757,12,2,2487.68,4975.36,652.77
SO - 000343,6/12/2021,4,Wholesale,USD,GUT930,477,19,13,1787.13,23232.69,3048.15
SO - 000344,6/17/2021,5,Export,USD,AXW291,536,24,12,1977.13,23725.56,3112.82
SO - 000345,5/22/2021,9,Export,USD,GUT930,135,2,6,973.5,5841,766.35
SO - 000346,7/20/2021,21,Wholesale,USD,AXW291,395,4,4,3833.8,15335.2,2011.99
SO - 000347,9/27/2021,25,Wholesale,USD,GUT930,183,18,6,4478.97,26873.82,3525.87
SO - 000348,10/16/2021,17,Export,USD,FLR025,986,1,4,2493.78,9975.12,1308.75
SO - 000349,1/8/2022,21,Wholesale,USD,AXW291,801,10,15,1328.37,19925.55,2614.25
SO - 000350,5/1/2021,13,Export,USD,AXW291,453,12,13,1646.77,21408.01,2808.75
SO - 000351,1/17/2022,12,Wholesale,USD,FLR025,174,14,2,4507.85,9015.7,1182.87
SO - 000352,4/6/2022,3,Distributor,USD,AXW291,754,12,15,974.55,14618.25,1917.93
SO - 000353,5/16/2022,16,Export,USD,AXW291,458,14,13,436.68,5676.84,744.81
SO - 000354,12/2/2021,24,Distributor,USD,GUT930,855,12,10,3520.72,35207.2,4619.22
SO - 000355,12/20/2021,9,Wholesale,USD,GUT930,792,23,11,3169.14,34860.54,4573.74
SO - 000356,4/16/2022,23,Export,USD,GUT930,411,28,15,4655.01,69825.15,9161.13
SO - 000357,5/11/2021,18,Wholesale,USD,NXH382,7,5,9,364.75,3282.75,430.7
SO - 000358,5/7/2022,6,Wholesale,USD,FLR025,951,4,7,3849.6,26947.2,3535.5
SO - 000359,3/8/2021,15,Export,USD,AXW291,506,16,2,3244.44,6488.88,851.35
SO - 000360,7/9/2021,12,Wholesale,USD,GUT930,785,19,12,2541.48,30497.76,4001.34
SO - 000361,7/11/2021,9,Distributor,USD,GUT930,623,6,4,283.6,1134.4,148.83
SO - 000362,12/29/2021,24,Export,USD,NXH382,682,15,2,3423.16,6846.32,898.24
SO - 000363,3/28/2022,1,Export,USD,GUT930,756,1,2,2451.13,4902.26,643.18
SO - 000364,4/14/2021,17,Wholesale,USD,GUT930,610,23,11,3689.38,40583.18,5324.55
SO - 000365,4/14/2021,17,Export,USD,GUT930,624,1,15,1434.24,21513.6,2822.61
SO - 000366,11/13/2021,3,Distributor,USD,AXW291,350,7,5,4085.18,20425.9,2679.9
SO - 000367,5/2/2022,10,Wholesale,USD,AXW291,899,17,5,3096.22,15481.1,2031.14
SO - 000368,8/22/2021,7,Distributor,USD,GUT930,545,20,1,3277.7,3277.7,430.04
SO - 000369,1/6/2021,10,Wholesale,USD,FLR025,610,17,3,4378.53,13135.59,1723.4
SO - 000370,10/13/2021,15,Distributor,USD,GUT930,65,26,14,4110.61,57548.54,7550.43
SO - 000371,12/24/2021,9,Wholesale,USD,FLR025,815,21,8,2610.59,20884.72,2740.1
SO - 000372,4/11/2022,20,Distributor,USD,GUT930,68,7,11,2695.1,29646.1,3889.6
SO - 000373,1/21/2022,6,Distributor,USD,GUT930,220,6,11,682.73,7510.03,985.32
SO - 000374,5/13/2022,12,Distributor,USD,AXW291,963,15,10,2410.64,24106.4,3162.78
SO - 000375,7/30/2021,2,Wholesale,USD,NXH382,200,16,1,4585.99,4585.99,601.69
SO - 000376,9/23/2021,11,Export,USD,NXH382,574,29,15,2108.68,31630.2,4149.91
SO - 000377,4/21/2021,18,Export,USD,FLR025,506,22,12,450.91,5410.92,709.92
SO - 000378,10/8/2021,10,Distributor,USD,FLR025,382,19,2,4636.11,9272.22,1216.52
SO - 000379,4/1/2021,18,Wholesale,USD,FLR025,817,17,15,1616.82,24252.3,3181.93
SO - 000380,4/1/2021,12,Export,USD,NXH382,561,11,3,4895.29,14685.87,1926.8
SO - 000381,10/24/2021,12,Export,USD,FLR025,451,26,5,127.93,639.65,83.92
SO - 000382,11/25/2021,13,Wholesale,USD,AXW291,314,17,1,2006.63,2006.63,263.27
SO - 000383,5/8/2021,17,Export,USD,NXH382,511,23,12,3549.17,42590.04,5587.86
SO - 000384,2/15/2021,13,Export,USD,FLR025,909,24,5,4485.54,22427.7,2942.54
SO - 000385,3/30/2021,8,Distributor,USD,AXW291,440,3,4,680.41,2721.64,357.08
SO - 000386,7/7/2021,4,Distributor,USD,GUT930,920,27,15,2557.24,38358.6,5032.69
SO - 000387,10/22/2021,7,Distributor,USD,AXW291,632,10,4,4677.22,18708.88,2454.62
SO - 000388,1/24/2022,7,Distributor,USD,NXH382,291,10,11,4951.21,54463.31,7145.64
SO - 000389,5/24/2021,16,Distributor,USD,AXW291,101,21,15,4712.36,70685.4,9274
SO - 000390,1/9/2021,13,Export,USD,GUT930,472,24,14,3388.28,47435.92,6223.64
SO - 000391,4/11/2021,15,Distributor,USD,AXW291,967,12,2,3260.25,6520.5,855.5
SO - 000392,1/27/2021,2,Distributor,USD,AXW291,701,21,5,2603.48,13017.4,1707.9
SO - 000393,4/25/2022,20,Distributor,USD,NXH382,971,13,8,3456.92,27655.36,3628.41
SO - 000394,2/11/2021,22,Wholesale,USD,NXH382,745,20,4,4032.95,16131.8,2116.51
SO - 000395,2/9/2021,14,Export,USD,FLR025,249,15,4,3107.93,12431.72,1631.05
SO - 000396,2/17/2021,10,Distributor,USD,FLR025,585,9,12,659.1,7909.2,1037.7
SO - 000397,2/10/2022,17,Wholesale,USD,NXH382,303,29,10,746.34,7463.4,979.21
SO - 000398,10/5/2021,25,Distributor,USD,AXW291,856,12,12,3983.63,47803.56,6271.88
SO - 000399,3/17/2022,4,Distributor,USD,FLR025,475,22,1,1874.5,1874.5,245.94
SO - 000400,3/22/2022,9,Export,USD,FLR025,750,4,2,4158.78,8317.56,1091.27
SO - 000401,8/15/2021,13,Wholesale,USD,NXH382,274,18,15,4776.13,71641.95,9399.5
SO - 000402,12/27/2021,4,Export,USD,GUT930,245,4,14,4808.19,67314.66,8831.75
SO - 000403,3/9/2022,20,Export,USD,AXW291,473,4,10,929.22,9292.2,1219.15
SO - 000404,4/16/2022,22,Distributor,USD,FLR025,882,5,8,1319.42,10555.36,1384.87
SO - 000405,6/2/2021,14,Distributor,USD,AXW291,676,22,15,4934.89,74023.35,9711.94
SO - 000406,5/28/2021,21,Export,USD,GUT930,280,18,6,2890.45,17342.7,2275.38
SO - 000407,4/25/2022,6,Export,USD,NXH382,642,6,15,3444.51,51667.65,6778.85
SO - 000408,12/17/2021,14,Distributor,USD,FLR025,665,30,15,3855.51,57832.65,7587.7
SO - 000409,9/22/2021,21,Wholesale,USD,FLR025,907,19,9,3417.76,30759.84,4035.72
SO - 000410,12/26/2021,2,Export,USD,GUT930,582,8,15,154.98,2324.7,305
SO - 000411,9/11/2021,17,Wholesale,USD,NXH382,984,24,6,2875.8,17254.8,2263.85
SO - 000412,1/1/2022,1,Distributor,USD,AXW291,953,15,12,2340.03,28080.36,3684.17
SO - 000413,3/26/2022,20,Export,USD,FLR025,516,6,11,1442.06,15862.66,2081.2
SO - 000414,3/7/2022,7,Distributor,USD,GUT930,319,16,5,2008.99,10044.95,1317.91
SO - 000415,3/31/2022,6,Export,USD,FLR025,546,19,2,1920.48,3840.96,503.94
SO - 000416,11/29/2021,20,Distributor,USD,GUT930,336,3,13,4023.63,52307.19,6862.76
SO - 000417,10/19/2021,20,Distributor,USD,AXW291,404,23,6,3860.18,23161.08,3038.76
SO - 000418,12/21/2021,23,Distributor,USD,NXH382,25,6,1,1930.79,1930.79,253.32
SO - 000419,3/13/2021,10,Export,USD,FLR025,215,15,9,1769.64,15926.76,2089.61
SO - 000420,5/13/2021,9,Distributor,USD,AXW291,309,27,14,4724.3,66140.2,8677.66
SO - 000421,1/5/2021,6,Distributor,USD,NXH382,526,27,13,2277.29,29604.77,3884.18
SO - 000422,3/17/2022,2,Wholesale,USD,AXW291,54,17,11,2764.49,30409.39,3989.74
SO - 000423,1/5/2022,23,Distributor,USD,NXH382,231,12,6,1803.89,10823.34,1420.03
