id,name,country,state_code,state,type,latitude,longitude,area_code,population,household,median_in_land,area_water,time_zone
1,Frankbury,Ukraine,NE,Nebraska,Town,35.4638,-69.1738,767,195066,67533,95334,0.16,Mountain/Denver
2,North Dianaville,Cape Verde,KS,Kansas,Town,29.6699,-89.1712,502,273498,120843,54932,4.45,Mountain/Denver
3,East Jenniferport,United States of America,LA,Louisiana,Village,46.1032,-76.4655,401,170928,84416,79559,0.78,Eastern/New_York
4,Taylorburgh,New Zealand,CT,Connecticut,CDP,31.1376,-84.1071,473,272741,106965,41685,0.16,Central/Chicago
5,New Brad,San Marino,MN,Minnesota,Hamlet,37.7477,-120.1705,392,439105,156924,134579,4.88,Pacific/Los_Angeles
6,New Melissahaven,Croatia,FL,Florida,Village,28.0557,-90.608,667,276680,89564,135481,0.18,Eastern/New_York
7,Brendaberg,Uzbekistan,KS,Kansas,CDP,27.4119,-109.1021,853,426185,176737,112818,2.45,Pacific/Los_Angeles
8,South Lisa,Japan,DC,District of Columbia,City,30.0057,-115.3973,726,6773,2910,84677,3.71,Pacific/Los_Angeles
9,Pearsonport,Tajikistan,VA,Virginia,Hamlet,39.2245,-118.311,833,419992,168042,89894,4.95,Eastern/New_York
10,Port Darlenestad,Congo,DE,Delaware,City,48.8942,-106.3322,628,457030,189924,119935,4.05,Pacific/Los_Angeles
11,Loriville,Montenegro,WY,Wyoming,CDP,39.387,-69.2849,248,161740,50910,124944,2.14,Pacific/Los_Angeles
12,Dianeland,Bangladesh,KY,Kentucky,Village,34.2159,-124.8311,231,498644,243582,62186,0.25,Pacific/Los_Angeles
13,Davidville,Bouvet Island (Bouvetoya),CT,Connecticut,City,41.3924,-88.7581,228,82982,35673,78116,2.61,Central/Chicago
14,East Jasminestad,Holy See (Vatican City State),OR,Oregon,Village,42.6438,-106.2406,443,84404,41840,144691,4.91,Central/Chicago
15,Jamesview,Libyan Arab Jamahiriya,KS,Kansas,City,48.1033,-94.3636,383,321068,159466,56532,1.9,Pacific/Los_Angeles
16,North Gregory,Malaysia,MD,Maryland,Hamlet,32.8355,-94.0768,528,170674,67840,42589,3.9,Central/Chicago
17,Stacyburgh,Colombia,TX,Texas,Hamlet,37.2066,-124.5132,933,364181,165430,106521,0.74,Pacific/Los_Angeles
18,South Timothy,Armenia,MD,Maryland,City,42.7177,-109.4601,921,89532,34210,69158,2.1,Central/Chicago
19,Bartonland,Fiji,VT,Vermont,CDP,26.8899,-117.0612,511,152731,51646,25725,0.7,Pacific/Los_Angeles
20,New Timothytown,Tuvalu,DE,Delaware,Town,37.2006,-114.7027,977,177432,71055,138019,3.27,Central/Chicago
21,Loriview,Samoa,RI,Rhode Island,CDP,31.0273,-72.2924,932,159067,76804,110814,4.52,Pacific/Los_Angeles
22,New April,Burkina Faso,RI,Rhode Island,Village,33.7425,-123.5446,955,420379,204900,85144,4.07,Mountain/Denver
23,Port Victoria,Equatorial Guinea,MN,Minnesota,Village,39.4912,-119.1316,516,244761,95470,87072,0.53,Central/Chicago
24,Angelaville,Tanzania,ID,Idaho,Town,35.5302,-72.7125,880,82628,40484,75654,4.45,Eastern/New_York
25,Johnport,Monaco,NJ,New Jersey,CDP,31.897,-79.0594,803,156866,58046,22344,3.61,Central/Chicago
26,Tiffanyhaven,Belize,PA,Pennsylvania,Hamlet,34.6508,-110.9366,419,120333,43212,86758,4.36,Central/Chicago
27,West Michelle,Egypt,AL,Alabama,CDP,47.9809,-78.0058,609,134605,59896,69275,1.34,Central/Chicago
28,Harrischester,Angola,MI,Michigan,Village,45.315,-105.6715,432,174317,60753,111109,0.13,Central/Chicago
29,West Laura,Chad,UT,Utah,Hamlet,48.0041,-69.3218,352,78646,27729,81518,1.3,Mountain/Denver
30,Port Kevin,Turkmenistan,ID,Idaho,CDP,45.3766,-94.9044,220,142641,43577,39927,3.28,Eastern/New_York
31,Markshaven,Cote d'Ivoire,NM,New Mexico,Hamlet,41.8553,-94.2778,685,141303,45841,36013,2.41,Eastern/New_York
32,East Kevinchester,Tajikistan,MI,Michigan,CDP,28.4375,-99.4433,700,235604,110219,52569,0.46,Central/Chicago
33,North Robertfort,Palau,IL,Illinois,Town,36.706,-97.815,837,269261,118007,43302,1.61,Pacific/Los_Angeles
34,Hortonstad,Bhutan,AK,Alaska,City,44.9662,-82.4445,290,272763,95737,27751,1.89,Eastern/New_York
35,East Patty,French Polynesia,AK,Alaska,CDP,44.5605,-85.0316,640,430136,129436,21383,2.95,Central/Chicago
36,North Matthew,Bosnia and Herzegovina,ID,Idaho,City,27.3974,-112.94,556,405645,192385,47325,0.37,Eastern/New_York
37,South Edward,Rwanda,KS,Kansas,City,46.4489,-107.3528,915,425368,176602,103238,0.1,Central/Chicago
38,Wardmouth,Argentina,TN,Tennessee,City,45.3509,-69.8111,776,137225,53159,25975,2.86,Mountain/Denver
39,Sanchezberg,United Kingdom,OK,Oklahoma,Hamlet,28.2893,-73.2608,445,280671,110599,109014,1.35,Eastern/New_York
40,South Jeffrey,Micronesia,WY,Wyoming,City,30.8367,-74.0543,917,133459,63820,76637,1.7,Pacific/Los_Angeles
41,North Mario,Palau,CO,Colorado,Hamlet,30.7326,-78.3342,584,286048,115701,21665,1.46,Mountain/Denver
42,Kennethbury,Nicaragua,OK,Oklahoma,CDP,43.0837,-114.6162,954,79244,36037,42637,4.6,Eastern/New_York
43,South William,Hungary,ND,North Dakota,Town,38.4108,-119.9298,677,186720,80596,131115,0.61,Mountain/Denver
44,Lake Dominic,Malawi,CO,Colorado,Hamlet,38.4907,-101.3219,997,495611,177475,131283,0.65,Central/Chicago
45,Nancymouth,Liechtenstein,OK,Oklahoma,Town,25.4561,-73.2846,242,213374,74249,77200,2.03,Pacific/Los_Angeles
46,Thompsonburgh,Bangladesh,PR,Puerto Rico,Village,26.9657,-110.4134,817,472079,152265,39103,2.64,Eastern/New_York
47,South Brenda,Hong Kong,TX,Texas,CDP,30.5701,-116.8935,218,27448,9528,83360,3.04,Central/Chicago
48,Jonesville,Myanmar,IL,Illinois,Village,42.9555,-101.402,699,68775,31946,137135,3.46,Central/Chicago
49,Strongmouth,Ethiopia,DE,Delaware,Hamlet,32.2399,-100.379,571,113388,46004,44893,3.28,Mountain/Denver
50,Lake Bradley,Singapore,FL,Florida,Town,33.0571,-68.9089,423,18550,8517,102331,0.67,Pacific/Los_Angeles
51,Kaneborough,Iceland,NC,North Carolina,Hamlet,47.1496,-68.253,781,300404,130950,47395,1.65,Mountain/Denver
52,South Douglaston,Italy,VA,Virginia,Village,37.1873,-113.3095,883,409069,184924,136171,3.42,Pacific/Los_Angeles
53,West Josephside,Saint Kitts and Nevis,MS,Mississippi,Hamlet,33.6005,-79.0864,897,208778,93513,91700,1.81,Central/Chicago
54,Port Ashlee,Martinique,HI,Hawaii,City,45.4163,-79.4999,626,329609,103403,110554,4.52,Pacific/Los_Angeles
55,North Benjaminchester,Chad,OR,Oregon,Town,33.956,-83.1599,624,420989,152933,28112,0.54,Mountain/Denver
56,North Karen,South Georgia and the South Sandwich Islands,AK,Alaska,CDP,37.5943,-71.7121,880,219896,74772,133995,3.77,Eastern/New_York
57,Newmanton,Fiji,NV,Nevada,Village,37.9116,-108.6847,539,279704,123661,87545,0.62,Pacific/Los_Angeles
58,Ochoamouth,Anguilla,IL,Illinois,CDP,34.9877,-70.9518,770,129499,51555,131982,1.73,Mountain/Denver
59,New William,Timor-Leste,NV,Nevada,Hamlet,30.8941,-115.6772,455,17154,7712,128995,1.17,Mountain/Denver
